trial,method,budget,alpha,rank,theta1,theta2,true_delta,delta_hat,parameter_covered,point_sign_error,interval_type,empty,lower,upper,width,delta_covered,decision,incorrect_claim,sign_error
0,c_opt,0,0.05,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,shared_parameter_set,0,-1.0,1.0,2.0,1,0,0,0
0,c_opt,0,0.05,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,scalar_wald,0,-1.0,1.0,2.0,1,0,0,0
0,c_opt,0,0.01,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,shared_parameter_set,0,-1.0,1.0,2.0,1,0,0,0
0,c_opt,0,0.01,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,scalar_wald,0,-1.0,1.0,2.0,1,0,0,0
0,c_opt,2,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39215324652263467,0,0,shared_parameter_set,0,0.21554174314531344,0.568764749899956,0.3532230067546425,1,1,0,0
0,c_opt,2,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39215324652263467,0,0,scalar_wald,0,0.2909797839932224,0.49332670905204695,0.20234692505882457,0,1,0,0
0,c_opt,2,0.2,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39215324652263467,1,0,shared_parameter_set,0,0.12303485982351936,0.66127163322175,0.5382367733982306,1,1,0,0
0,c_opt,2,0.2,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39215324652263467,1,0,scalar_wald,0,0.1999205116909445,0.5843859813543248,0.38446546966338035,1,1,0,0
0,c_opt,2,0.1,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39215324652263467,1,0,shared_parameter_set,0,0.07025834257923258,0.7140481504660368,0.6437898078868042,1,1,0,0
0,c_opt,2,0.1,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39215324652263467,1,0,scalar_wald,0,0.1454252024799139,0.6388812905653555,0.4934560880854416,1,1,0,0
0,c_opt,2,0.05,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39215324652263467,1,0,shared_parameter_set,0,0.024991221920512174,0.7593152711247572,0.734324049204245,1,0,0,0
0,c_opt,2,0.05,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39215324652263467,1,0,scalar_wald,0,0.09815864884162656,0.6861478442036428,0.5879891953620162,1,1,0,0
0,c_opt,2,0.01,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39215324652263467,1,0,shared_parameter_set,0,-0.0630748922929093,0.8473813853381786,0.9104562776310879,1,0,0,0
0,c_opt,2,0.01,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39215324652263467,1,0,scalar_wald,0,0.005778850990299567,0.7785276420549698,0.7727487910646702,1,0,0,0
0,c_opt,4,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39391847022553195,0,0,shared_parameter_set,0,0.2690352785518773,0.5188016618991866,0.24976638334730933,0,1,0,0
0,c_opt,4,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39391847022553195,0,0,scalar_wald,0,0.32237802879486144,0.46545891165620246,0.14308088286134102,0,1,0,0
