method,interval_type,budget,alpha,trials,parameter_coverage,delta_coverage,delta_coverage_wilson95_low,delta_coverage_wilson95_high,decision_coverage,decision_coverage_wilson95_low,decision_coverage_wilson95_high,claims,incorrect_claims,unconditional_incorrect_claim_rate,selective_risk,selective_risk_wilson95_low,selective_risk_wilson95_high,sign_errors,empty_sets,mean_interval_width_nonempty,point_ranking_error_rate
d_opt,scalar_wald,2,0.01,300,0.9866666666666667,0.9833333333333333,0.9615846051669054,0.9928605226493666,0.21666666666666667,0.1737878350698321,0.2667098486240773,65,0,0.0,0.0,0.0,0.05580153132285689,0,0,0.7633952561680869,0.16
d_opt,shared_parameter_set,4,0.5,300,0.49333333333333335,0.7566666666666667,0.7050648160221181,0.8017784587492817,0.6433333333333333,0.5876297656515226,0.6954125825974409,193,3,0.01,0.015544041450777202,0.005300215242179038,0.0446966648848823,2,0,0.24833691734924826,0.13666666666666666
d_opt,scalar_wald,4,0.5,300,0.49333333333333335,0.51,0.45366418945602693,0.5660829511194823,0.7333333333333333,0.680572605868549,0.7801940075599961,220,13,0.043333333333333335,0.05909090909090909,0.034854738262278424,0.09846041692797755,7,0,0.143080882861341,0.13666666666666666
d_opt,shared_parameter_set,4,0.2,300,0.79,0.9266666666666666,0.8914686583942826,0.9510760061607713,0.53,0.4735002333859323,0.5857411883405951,159,2,0.006666666666666667,0.012578616352201259,0.003456315519739659,0.04469763051760463,1,0,0.3774120604631179,0.13666666666666666
d_opt,scalar_wald,4,0.2,300,0.79,0.8033333333333333,0.7546412316550143,0.8443553658020945,0.6166666666666667,0.5605031391673366,0.669880167546936,185,2,0.006666666666666667,0.010810810810810811,0.0029697381686438866,0.03855429405216007,1,0,0.27185814073104714,0.13666666666666666
d_opt,shared_parameter_set,4,0.1,300,0.9033333333333333,0.9566666666666667,0.9272825343659885,0.9745035519155927,0.44666666666666666,0.39143715496049114,0.503244761970127,134,0,0.0,0.0,0.0,0.027868675023899322,0,0,0.45033588286938064,0.13666666666666666
d_opt,scalar_wald,4,0.1,300,0.9033333333333333,0.91,0.8722229892013517,0.9374097743945206,0.5633333333333334,0.5067592167427277,0.6183060069021631,169,2,0.006666666666666667,0.011834319526627219,0.003251419493628345,0.04211650828363522,1,0,0.34884299389578904,0.13666666666666666
d_opt,shared_parameter_set,4,0.05,300,0.9533333333333334,0.9833333333333333,0.9615846051669054,0.9928605226493666,0.3933333333333333,0.3397391051458938,0.44962472871534254,118,0,0.0,0.0,-3.469446951953614e-18,0.03152833902249433,0,0,0.5122484159453152,0.13666666666666666
d_opt,scalar_wald,4,0.05,300,0.9533333333333334,0.9366666666666666,0.9032086875144784,0.9590831176160847,0.47,0.4142588116594049,0.5264997666140677,141,1,0.0033333333333333335,0.0070921985815602835,0.0012530461940498637,0.03907697304391938,0,0,0.4154651784270173,0.13666666666666666
d_opt,shared_parameter_set,4,0.01,300,0.9933333333333333,0.9966666666666667,0.9813633063054688,0.9994113422781488,0.32,0.2697753585604896,0.3747761110803469,96,0,0.0,0.0,3.469446951953614e-18,0.038475587857675686,0,0,0.6309542946119698,0.13666666666666666
d_opt,scalar_wald,4,0.01,300,0.9933333333333333,0.99,0.9710165066376601,0.9965933815622847,0.37666666666666665,0.3237203650702255,0.4327315678318291,113,0,0.0,0.0,0.0,0.03287753216595198,0,0,0.5450313007649048,0.13666666666666666
d_opt,shared_parameter_set,8,0.5,300,0.49666666666666665,0.74,0.6875519770721528,0.7863793967400652,0.7133333333333334,0.6597183711272249,0.7615539611503023,214,2,0.006666666666666667,0.009345794392523364,0.002566706667490393,0.03342946625177219,0,0,0.1765566294625027,0.07666666666666666
d_opt,scalar_wald,8,0.5,300,0.49666666666666665,0.49333333333333335,0.43720207035328285,0.5496331692630444,0.79,0.7403888774230657,0.8322781992666975,237,9,0.03,0.0379746835443038,0.020105032510822306,0.07058308625262961,4,0,0.10117346252941227,0.07666666666666666
d_opt,shared_parameter_set,8,0.2,300,0.7966666666666666,0.9233333333333333,0.8875898961498251,0.9483723882133924,0.6,0.5436365963411878,0.653834809413903,180,0,0.0,0.0,0.0,0.02089549792161305,0,0,0.26877120379657155,0.07666666666666666
d_opt,scalar_wald,8,0.2,300,0.7966666666666666,0.7766666666666666,0.7262089140024802,0.8201286419199375,0.6966666666666667,0.642431561442127,0.7459288698762181,209,2,0.006666666666666667,0.009569377990430622,0.002628203347104105,0.034213579565594655,0,0,0.1922327348316901,0.07666666666666666
