task,policy_a,policy_b,count_a,count_b,n_each,difference,newcombe_low,newcombe_high,simultaneous_cp_low,simultaneous_cp_high,publicly_rerunnable_pair,opposite_published_means
google_robot_place_apple_in_closed_top_drawer,rt-1-15pct,rt-1-x,5,11,27,-0.2222222222222222,-0.4344310959416805,0.021458090688945497,-0.6318085233944866,0.2707106081459945,True,False
google_robot_place_apple_in_closed_top_drawer,rt-1-15pct,rt-1-begin,5,0,27,0.18518518518518517,0.02331798703303975,0.36698683618548433,-0.1432141787687886,0.4472864091586929,True,False
google_robot_place_apple_in_closed_top_drawer,rt-1-15pct,octo-base,5,0,27,0.18518518518518517,0.02331798703303975,0.36698683618548433,-0.1432141787687886,0.4472864091586929,True,False
google_robot_place_apple_in_closed_top_drawer,rt-1-x,rt-1-begin,11,0,27,0.4074074074074074,0.20285372245392772,0.5927329903193531,-0.007135041228720107,0.6723051868671164,True,False
google_robot_place_apple_in_closed_top_drawer,rt-1-x,octo-base,11,0,27,0.4074074074074074,0.20285372245392772,0.5927329903193531,-0.007135041228720107,0.6723051868671164,True,False
google_robot_place_apple_in_closed_top_drawer,rt-1-begin,octo-base,0,0,27,0.0,-0.12455502974186704,0.12455502974186704,-0.18371084224141848,0.18371084224141848,True,False
widowx_spoon_on_towel,rt-1-x,octo-base,0,8,24,-0.3333333333333333,-0.5329368316186824,-0.12685354133978355,-0.5962896822014121,0.05165346258917913,True,False
widowx_spoon_on_towel,rt-1-x,octo-small,0,10,24,-0.4166666666666667,-0.6116533413477123,-0.196171284629555,-0.674006057312196,-0.007796392716429734,True,False
widowx_spoon_on_towel,octo-base,octo-small,8,10,24,-0.08333333333333333,-0.3315595905027946,0.1801478556933772,-0.5448170881450578,0.407650857728665,True,False
widowx_carrot_on_plate,rt-1-x,octo-base,0,6,24,-0.25,-0.44899444005154,-0.06042394428005518,-0.5117957909901234,0.10387238474000515,True,False
widowx_carrot_on_plate,rt-1-x,octo-small,0,2,24,-0.08333333333333333,-0.25848802193210674,0.06719375950184965,-0.31355631653168226,0.17511254811453292,True,False
widowx_carrot_on_plate,octo-base,octo-small,6,2,24,0.16666666666666666,-0.05146359896365088,0.37456029281313064,-0.23658626951537004,0.5060659073483389,True,True
widowx_stack_cube,rt-1-x,octo-base,0,0,24,0.0,-0.13797620467498012,0.13797620467498012,-0.18084243175631737,0.18084243175631737,True,False
widowx_stack_cube,rt-1-x,octo-small,0,3,24,-0.125,-0.31003881270500067,0.03527763947655205,-0.3682085169904724,0.16326992609369628,True,False
widowx_stack_cube,octo-base,octo-small,0,3,24,-0.125,-0.31003881270500067,0.03527763947655205,-0.3682085169904724,0.16326992609369628,True,False
widowx_put_eggplant_in_basket,rt-1-x,octo-base,0,6,24,-0.25,-0.44899444005154,-0.06042394428005518,-0.4961118995482342,0.08299567106472872,True,False
